iter	Passed	Remaining
0	0	147
1	0	177
2	0	181
3	1	265
4	1	248
5	1	233
6	1	241
7	1	237
8	2	240
9	2	232
10	2	238
11	2	237
12	3	236
13	3	229
14	3	232
15	3	238
16	4	236
17	4	235
18	4	234
19	4	234
20	5	237
21	5	236
22	5	232
23	5	233
24	6	234
25	6	238
26	6	240
27	6	241
28	7	237
29	7	238
30	7	239
31	7	236
32	7	233
33	8	230
34	8	227
35	8	226
36	8	224
37	8	221
38	8	219
39	9	216
40	9	215
41	9	213
42	9	211
43	9	209
44	9	207
45	9	205
46	10	204
47	10	203
48	10	202
49	10	201
50	10	200
51	10	199
52	11	200
53	11	201
54	11	201
55	12	202
56	12	202
57	12	201
58	12	201
59	12	201
60	13	200
61	13	200
62	13	199
63	13	199
64	13	198
65	13	197
66	14	196
67	14	195
68	14	194
69	14	193
70	14	192
71	14	192
72	15	192
73	15	191
74	15	190
75	15	189
76	15	189
77	15	188
78	16	188
79	16	187
80	16	187
81	16	186
82	16	186
83	17	186
84	17	185
85	17	184
86	17	184
87	17	184
88	17	183
89	18	182
90	18	182
91	18	181
92	18	181
93	18	182
94	19	183
95	19	182
96	19	182
97	19	182
98	20	183
99	20	183
100	20	182
101	20	182
102	20	181
103	21	181
104	21	181
105	21	181
106	21	180
107	21	180
108	21	179
109	22	179
110	22	178
111	22	178
112	22	178
113	22	177
114	23	177
115	23	177
116	23	177
117	23	176
118	23	176
119	24	176
120	24	176
121	24	175
122	24	175
123	24	175
124	25	175
125	25	174
126	25	174
127	25	174
128	25	174
129	26	175
130	26	175
131	26	175
132	26	174
133	27	174
134	27	174
135	27	174
136	27	174
137	27	173
138	27	173
139	28	172
140	28	172
141	28	172
142	28	172
143	28	171
144	29	171
145	29	170
146	29	170
147	29	170
148	29	170
149	30	170
150	30	170
151	30	169
152	30	169
153	30	169
154	30	168
155	31	168
156	31	168
157	31	168
158	31	167
159	31	167
160	32	167
161	32	167
162	32	166
163	32	166
164	32	166
165	33	166
166	33	165
167	33	165
168	33	165
169	33	165
170	34	165
171	34	165
172	34	164
173	34	164
174	34	164
175	35	164
176	35	164
177	35	164
178	35	164
179	36	164
180	36	164
181	36	164
182	36	164
183	36	164
184	37	163
185	37	163
186	37	162
187	37	162
188	37	162
189	37	161
190	38	161
191	38	161
192	38	161
193	38	160
194	38	160
195	39	160
196	39	160
197	39	159
198	39	159
199	39	159
200	39	158
201	40	158
202	40	158
203	40	157
204	40	157
205	40	157
206	41	157
207	41	156
208	41	156
209	41	156
210	41	156
211	42	156
212	42	155
213	42	155
214	42	155
215	42	155
216	42	155
217	43	154
218	43	154
219	43	153
220	43	153
221	43	153
222	43	153
223	44	153
224	44	152
225	44	152
226	44	152
227	44	152
228	45	151
229	45	151
230	45	151
