pet_id,pet_name,primary_breed,secondary_breed,mixed_breed,age,gender,size,primary_colour,secondary_colour,coat_length,shelter_name,shelter_id,zip_code,num_photos,children,cats,other_dogs,other_animals,fee_waived,pet_location,characteristics,house_trained,health,adoption_fee
72631343,Colt,Labrador Retriever,,FALSE,Young,Male,Medium,,,,Friends of Perry Animal Shelter,GA168,31069,2,,,,,FALSE,"Perry, GA",N/A,N/A,Spayed / neutered.,N/A
72535307,Hunter,Mixed Breed,,TRUE,Baby,Male,Medium,,,,Friends of Perry Animal Shelter,GA168,31069,1,TRUE,TRUE,TRUE,,FALSE,"Perry, GA",N/A,N/A,"Vaccinations up to date, spayed / neutered.",N/A
72189274,Conley,Labrador Retriever,,TRUE,Baby,Male,Medium,,,,Friends of Perry Animal Shelter,GA168,31069,3,TRUE,TRUE,TRUE,,FALSE,"Perry, GA",N/A,N/A,"Vaccinations up to date, spayed / neutered.",N/A
71179118,Pattie,Labrador Retriever,Hound,TRUE,Young,Female,Medium,,,,Friends of Perry Animal Shelter,GA168,31069,3,TRUE,TRUE,TRUE,,FALSE,"Perry, GA",N/A,N/A,"Vaccinations up to date, spayed / neutered.",N/A
71874008,Sweetie Pie,Black Mouth Cur,,FALSE,Young,Female,Medium,Bicolor,Brown / Chocolate,Short,Animal Rescue Foundation Inc,GA59,31061,3,,,,,FALSE,"Milledgeville, GA","Friendly, Affectionate, Loyal, Gentle, Smart, Loves Kisses",N/A,"Vaccinations up to date, spayed / neutered.",$200.00 
71873998,Honeybun,Black Mouth Cur,,FALSE,Young,Female,Medium,Bicolor,Brown / Chocolate,Short,Animal Rescue Foundation Inc,GA59,31061,5,,,,,FALSE,"Milledgeville, GA","Friendly, Affectionate, Loyal, Gentle, Smart, Brave",N/A,"Vaccinations up to date, spayed / neutered.",$200.00 
71873982,Cash,Black Labrador Retriever,,FALSE,Baby,Male,Medium,Black,White / Cream,Short,Animal Rescue Foundation Inc,GA59,31061,6,,,,,FALSE,"Milledgeville, GA","Friendly, Affectionate, Playful, Smart, Brave, Dignified, Loves Kisses",N/A,"Vaccinations up to date, spayed / neutered, special needs.",$200.00 
71418492,Georgia,Black Labrador Retriever,,FALSE,Young,Female,Medium,Black,White / Cream,Short,Animal Rescue Foundation Inc,GA59,31061,6,,,TRUE,,FALSE,"Milledgeville, GA","Friendly, Affectionate, Gentle, Playful, Curious, Quiet",N/A,"Vaccinations up to date, spayed / neutered.",N/A
71276739,Asher,Pit Bull Terrier,,TRUE,Young,Male,Medium,Gray / Blue / Silver,White / Cream,Short,Animal Rescue Foundation Inc,GA59,31061,6,,FALSE,TRUE,,FALSE,"Milledgeville, GA","Friendly, Playful, Affectionate, Curious, Funny, Athletic, Loves Kisses",Yes,"Vaccinations up to date, spayed / neutered.",N/A
69785207,Bianca,Feist,Miniature Pinscher,TRUE,Baby,Female,Medium,Yellow / Tan / Blond / Fawn,Bicolor,Short,Animal Rescue Foundation Inc,GA59,31061,5,,,TRUE,,FALSE,"Milledgeville, GA","Loyal, Affectionate, Friendly, Playful, Smart, Curious, Funny, Loves Kisses",N/A,"Vaccinations up to date, spayed / neutered.",N/A
69785205,Ronan,American Bulldog,,TRUE,Adult,Male,Large,Yellow / Tan / Blond / Fawn,White / Cream,Short,Animal Rescue Foundation Inc,GA59,31061,5,,,TRUE,,FALSE,"Milledgeville, GA","Friendly, Affectionate, Playful, Smart, Brave, Funny, Athletic, Loves Kisses",N/A,"Vaccinations up to date, spayed / neutered.",N/A
69741772,Snow,Black Labrador Retriever,,FALSE,Senior,Male,Medium,Black,White / Cream,Short,Animal Rescue Foundation Inc,GA59,31061,6,FALSE,FALSE,FALSE,FALSE,FALSE,"Milledgeville, GA","Friendly, Affectionate, Loyal, Smart, Brave, Independent, Couch potato, Loves kisses",N/A,Spayed / neutered.,N/A
69741427,Ginny,Black Labrador Retriever,,TRUE,Baby,Female,Large,Black,White / Cream,Short,Animal Rescue Foundation Inc,GA59,31061,5,,,TRUE,,FALSE,"Milledgeville, GA","Friendly, Affectionate, Playful, Smart, Brave, Funny, Loves Kisses",N/A,"Vaccinations up to date, spayed / neutered.",N/A
69741180,Bonnie,Hound,Labrador Retriever,TRUE,Adult,Female,Large,Yellow / Tan / Blond / Fawn,,Short,Animal Rescue Foundation Inc,GA59,31061,6,,,TRUE,,FALSE,"Milledgeville, GA","Friendly, Affectionate, Playful, Smart, Loyal, Brave, Athletic, Funny, Loves Kisses",Yes,"Vaccinations up to date, spayed / neutered.",N/A
69741136,Pugsley,Feist,Miniature Pinscher,TRUE,Baby,Male,Medium,Yellow / Tan / Blond / Fawn,Bicolor,Short,Animal Rescue Foundation Inc,GA59,31061,5,TRUE,,TRUE,,FALSE,"Milledgeville, GA","Loyal, Affectionate, Friendly, Gentle, Smart, Curious, Quiet, Loves Kisses",N/A,"Vaccinations up to date, spayed / neutered.",N/A
69741093,Eugene,Shepherd,Feist,TRUE,Baby,Male,Medium,Yellow / Tan / Blond / Fawn,,Short,Animal Rescue Foundation Inc,GA59,31061,6,,,TRUE,,FALSE,"Milledgeville, GA","Friendly, Affectionate, Loyal, Smart, Curious, Loves Kisses",N/A,"Vaccinations up to date, spayed / neutered.",N/A
69490866,Buttercup,Labrador Retriever,,TRUE,Baby,Female,Medium,Black,,Short,Animal Rescue Foundation Inc,GA59,31061,6,TRUE,,TRUE,,FALSE,"Milledgeville, GA","Friendly, Affectionate, Playful, Smart",N/A,"Vaccinations up to date, spayed / neutered.",N/A
69317379,Blossom,Labrador Retriever,,TRUE,Baby,Female,Medium,Black,,Short,Animal Rescue Foundation Inc,GA59,31061,5,TRUE,,TRUE,,FALSE,"Milledgeville, GA","Friendly, Affectionate, Playful",N/A,Spayed / neutered.,N/A
64552692,Belle,Siberian Husky,Australian Shepherd,TRUE,Adult,Female,Medium,Red / Chestnut / Orange,White / Cream,Medium,Animal Rescue Foundation Inc,GA59,31061,6,FALSE,FALSE,TRUE,,FALSE,"Milledgeville, GA","Affectionate, Gentle, Playful",Yes,"Vaccinations up to date, spayed / neutered.",$200.00 
73664911,Ollie,German Shorthaired Pointer,Vizsla,TRUE,Adult,Male,Medium,,,Short,Georgia Canine Rescue and Rehabilitation,GA467,31014,1,,,,,FALSE,"Cochran, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered.",N/A
66320815,Sawyer,Pit Bull Terrier,Labrador Retriever,TRUE,Adult,Male,Large,Gray / Blue / Silver,White / Cream,Short,Baldwin County Jail Dog Program ,GA972,31061,6,,,TRUE,,FALSE,"Milledgeville, GA","Friendly, Affectionate, Loyal, Playful, Smart, Curious, Independent, Funny, Athletic, Quiet, Athletic, Energetic",Yes,"Vaccinations up to date, spayed / neutered.",$100.00 
65482319,Elsie,Boxer,American Bulldog,TRUE,Adult,Female,Medium,White / Cream,,Short,Kitten Corner & Puppy Street Inc.,GA1074,31061,4,TRUE,TRUE,TRUE,,FALSE,"Milledgeville, GA","Friendly, Affectionate, Loyal, Smart, Playful, Gentle, Curious, Funny, Athletic, Quiet, Loves kisses, Couch potato",N/A,N/A,N/A
65032208,Cricket ,Terrier,,TRUE,Young,Male,Medium,White / Cream,Apricot / Beige,Short,Kitten Corner & Puppy Street Inc.,GA1074,31061,4,TRUE,TRUE,TRUE,,FALSE,"Milledgeville, GA","Friendly, Affectionate, Loyal, Playful, Smart, Curious, Funny, Athletic, Brave, Couch potato, Loves kisses",N/A,N/A,N/A
64159616,Maya,Pit Bull Terrier,,TRUE,Adult,Female,Medium,Gray / Blue / Silver,White / Cream,Short,Kitten Corner & Puppy Street Inc.,GA1074,31061,5,TRUE,FALSE,TRUE,,FALSE,"Milledgeville, GA","Friendly, Affectionate, Loyal, Playful, Smart, Gentle, Protective, Curious, Athletic, Quiet, Couch potato, Loves kisses",N/A,N/A,N/A
59837047,Zack,Husky,Labrador Retriever,TRUE,Adult,Male,Large,White / Cream,,Medium,Baldwin County Jail Dog Program ,GA972,31061,6,,FALSE,TRUE,,FALSE,"Milledgeville, GA","Friendly, Affectionate, Loyal, Playful, Smart, Independent, Athletic, Quiet, leaner, attentive, watchful",Yes,"Vaccinations up to date, spayed / neutered.",$100.00 
52714350,Rico,Pointer,Pit Bull Terrier,TRUE,Senior,Male,Large,White / Cream,Brown / Chocolate,Short,Baldwin County Jail Dog Program ,GA972,31061,6,,,TRUE,,FALSE,"Milledgeville, GA","Friendly, Affectionate, Loyal, Gentle, Smart, Funny, Quiet, low maintenance, gives free kisses, sweet, calm, Couch Potato",Yes,"Vaccinations up to date, spayed / neutered.",$100.00 
51044806,Trixie,Pit Bull Terrier,Mixed Breed,TRUE,Adult,Female,Medium,Black,White / Cream,Short,Baldwin County Jail Dog Program ,GA972,31061,6,,,TRUE,,FALSE,"Milledgeville, GA","Friendly, energetic, playful, clean, smart, athletic, Quiet, Independent, Affectionate, Playful, Smart, Curious, Funny",Yes,"Vaccinations up to date, spayed / neutered.",$100.00 
69893732,Nova,Boxer,American Staffordshire Terrier,TRUE,Young,Female,Medium,Brown / Chocolate,,Short,Faith Animal Rescue Inc,GA1016,31050,5,TRUE,FALSE,TRUE,,FALSE,"Knoxville, GA","Friendly, Affectionate, Loyal, Playful, Smart, Protective, Curious, Independent, Funny, Athletic, Loves Kisses",N/A,"Vaccinations up to date, spayed / neutered.",$50.00 
73595539,Baby George,Terrier,,TRUE,Baby,Male,Medium,,,,Save A Pet Inc,GA174,31029,2,,,TRUE,,FALSE,"Forsyth, GA",N/A,N/A,N/A,N/A
73538033,Keaton,Terrier,,TRUE,Baby,Male,Medium,,,,Save A Pet Inc,GA174,31029,2,,TRUE,TRUE,,FALSE,"Forsyth, GA",N/A,N/A,N/A,$250.00 
73517725,Ruby,Catahoula Leopard Dog,,TRUE,Young,Female,Medium,,,,Save A Pet Inc,GA174,31029,3,,,TRUE,,FALSE,"Forsyth, GA",N/A,N/A,"Vaccinations up to date, spayed / neutered.",$250.00 
73095658,Hondo,Terrier,,TRUE,Young,Male,Medium,,,,Save A Pet Inc,GA174,31029,3,,,TRUE,,FALSE,"Forsyth, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered.",$250.00 
72695235,Angela,Boxer,Shepherd,TRUE,Young,Female,Large,,,,Save A Pet Inc,GA174,31029,4,,,,,FALSE,"Forsyth, GA",N/A,N/A,Spayed / neutered.,$250.00 
72055486,Pope,Shepherd,,TRUE,Young,Male,Large,,,,Save A Pet Inc,GA174,31029,3,,,TRUE,,FALSE,"Forsyth, GA",N/A,Yes,Vaccinations up to date.,$250.00 
71802850,Murphy (G-2),Australian Cattle Dog / Blue Heeler,,TRUE,Young,Male,Medium,,,,Save A Pet Inc,GA174,31029,2,,FALSE,,,FALSE,"Forsyth, GA",N/A,N/A,"Vaccinations up to date, spayed / neutered.",N/A
71802852,Miles,Australian Cattle Dog / Blue Heeler,,TRUE,Young,Male,Medium,,,,Save A Pet Inc,GA174,31029,3,,,,,FALSE,"Forsyth, GA",N/A,N/A,Spayed / neutered.,$250.00 
71802851,Bear Bear,Australian Cattle Dog / Blue Heeler,,TRUE,Young,Male,Medium,,,,Save A Pet Inc,GA174,31029,3,,FALSE,TRUE,,FALSE,"Forsyth, GA",N/A,N/A,Spayed / neutered.,N/A
71040575,Emma,Pointer,Labrador Retriever,TRUE,Adult,Female,Large,,,,Save A Pet Inc,GA174,31029,5,,FALSE,FALSE,,FALSE,"Forsyth, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered.",$250.00 
70878163,Rocco,Terrier,,TRUE,Adult,Male,Small,,,,Save A Pet Inc,GA174,31029,3,,,TRUE,,FALSE,"Forsyth, GA",N/A,N/A,Vaccinations up to date.,$250.00 
70825868,Ozark,Labrador Retriever,Great Pyrenees,TRUE,Adult,Male,Large,,,,Save A Pet Inc,GA174,31029,5,FALSE,,TRUE,,FALSE,"Forsyth, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered.",$250.00 
70825866,Stacy,Labrador Retriever,,TRUE,Young,Female,Large,,,,Save A Pet Inc,GA174,31029,0,,,,,FALSE,"Forsyth, GA",N/A,N/A,"Vaccinations up to date, spayed / neutered.",N/A
70825861,Skipper,Labrador Retriever,,TRUE,Young,Female,Large,,,,Save A Pet Inc,GA174,31029,2,,,,,FALSE,"Forsyth, GA",N/A,N/A,"Vaccinations up to date, spayed / neutered.",N/A
70825863,Trudy,Labrador Retriever,,TRUE,Adult,Female,Medium,,,,Save A Pet Inc,GA174,31029,1,,,,,FALSE,"Forsyth, GA",N/A,N/A,"Vaccinations up to date, spayed / neutered.",$200.00 
70825862,Barbie,Labrador Retriever,,TRUE,Young,Female,Medium,,,,Save A Pet Inc,GA174,31029,2,,,,,FALSE,"Forsyth, GA",N/A,N/A,"Vaccinations up to date, spayed / neutered.",$250.00 
70721533,Brooke,Weimaraner,,TRUE,Young,Female,Large,,,,Save A Pet Inc,GA174,31029,5,,,,,FALSE,"Forsyth, GA",N/A,N/A,"Vaccinations up to date, spayed / neutered.",$250.00 
70031231,Dino (Houndini),Hound,,TRUE,Adult,Male,Large,,,,Save A Pet Inc,GA174,31029,6,TRUE,,TRUE,,FALSE,"Forsyth, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered.",$250.00 
69684608,Bandit,Terrier,,TRUE,Adult,Male,Large,,,,Save A Pet Inc,GA174,31029,3,,,TRUE,,FALSE,"Forsyth, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered.",$250.00 
