pet_id,pet_name,primary_breed,secondary_breed,mixed_breed,age,gender,size,primary_colour,secondary_colour,coat_length,shelter_name,shelter_id,zip_code,num_photos,children,cats,other_dogs,other_animals,fee_waived,pet_location,characteristics,house_trained,health
72631343,Colt,Labrador Retriever,,False,Young,Male,Medium,,,,Friends of Perry Animal Shelter,GA168,31069,2,,,,,False,"Perry, GA",N/A,N/A,Spayed / neutered.
72535307,Hunter,Mixed Breed,,True,Baby,Male,Medium,,,,Friends of Perry Animal Shelter,GA168,31069,1,True,True,True,,False,"Perry, GA",N/A,N/A,"Vaccinations up to date, spayed / neutered."
72189274,Conley,Labrador Retriever,,True,Baby,Male,Medium,,,,Friends of Perry Animal Shelter,GA168,31069,3,True,True,True,,False,"Perry, GA",N/A,N/A,"Vaccinations up to date, spayed / neutered."
71179118,Pattie,Labrador Retriever,Hound,True,Young,Female,Medium,,,,Friends of Perry Animal Shelter,GA168,31069,3,True,True,True,,False,"Perry, GA",N/A,N/A,"Vaccinations up to date, spayed / neutered."
73786632,Ziggy,Schnauzer,Wirehaired Terrier,True,Young,Male,Small,Brindle,Black,Medium,Animal Rescue Foundation Inc,GA59,31061,1,True,True,True,,False,"Milledgeville, GA","Affectionate, Friendly, Playful",N/A,"Vaccinations up to date, spayed / neutered."
71874008,Sweetie Pie,Black Mouth Cur,,False,Young,Female,Medium,Bicolor,Brown / Chocolate,Short,Animal Rescue Foundation Inc,GA59,31061,3,,,,,False,"Milledgeville, GA","Friendly, Affectionate, Loyal, Gentle, Smart, Loves Kisses",N/A,"Vaccinations up to date, spayed / neutered."
71873998,Honeybun,Black Mouth Cur,,False,Young,Female,Medium,Bicolor,Brown / Chocolate,Short,Animal Rescue Foundation Inc,GA59,31061,5,,,,,False,"Milledgeville, GA","Friendly, Affectionate, Loyal, Gentle, Smart, Brave",N/A,"Vaccinations up to date, spayed / neutered."
71873982,Cash,Black Labrador Retriever,,False,Baby,Male,Medium,Black,White / Cream,Short,Animal Rescue Foundation Inc,GA59,31061,6,,,,,False,"Milledgeville, GA","Friendly, Affectionate, Playful, Smart, Brave, Dignified, Loves Kisses",N/A,"Vaccinations up to date, spayed / neutered, special needs."
71418492,Georgia,Black Labrador Retriever,,False,Young,Female,Medium,Black,White / Cream,Short,Animal Rescue Foundation Inc,GA59,31061,6,,,True,,False,"Milledgeville, GA","Friendly, Affectionate, Gentle, Playful, Curious, Quiet",N/A,"Vaccinations up to date, spayed / neutered."
71276739,Asher,Pit Bull Terrier,,True,Young,Male,Medium,Gray / Blue / Silver,White / Cream,Short,Animal Rescue Foundation Inc,GA59,31061,6,,False,True,,False,"Milledgeville, GA","Friendly, Playful, Affectionate, Curious, Funny, Athletic, Loves Kisses",Yes,"Vaccinations up to date, spayed / neutered."
69785207,Bianca,Feist,Miniature Pinscher,True,Baby,Female,Medium,Yellow / Tan / Blond / Fawn,Bicolor,Short,Animal Rescue Foundation Inc,GA59,31061,5,,,True,,False,"Milledgeville, GA","Loyal, Affectionate, Friendly, Playful, Smart, Curious, Funny, Loves Kisses",N/A,"Vaccinations up to date, spayed / neutered."
69785205,Ronan,American Bulldog,,True,Adult,Male,Large,Yellow / Tan / Blond / Fawn,White / Cream,Short,Animal Rescue Foundation Inc,GA59,31061,5,,,True,,False,"Milledgeville, GA","Friendly, Affectionate, Playful, Smart, Brave, Funny, Athletic, Loves Kisses",N/A,"Vaccinations up to date, spayed / neutered."
69741772,Snow,Black Labrador Retriever,,False,Senior,Male,Medium,Black,White / Cream,Short,Animal Rescue Foundation Inc,GA59,31061,6,False,False,False,False,False,"Milledgeville, GA","Friendly, Affectionate, Loyal, Smart, Brave, Independent, Couch potato, Loves kisses",N/A,Spayed / neutered.
69741427,Ginny,Black Labrador Retriever,,True,Baby,Female,Large,Black,White / Cream,Short,Animal Rescue Foundation Inc,GA59,31061,5,,,True,,False,"Milledgeville, GA","Friendly, Affectionate, Playful, Smart, Brave, Funny, Loves Kisses",N/A,"Vaccinations up to date, spayed / neutered."
69741180,Bonnie,Hound,Labrador Retriever,True,Adult,Female,Large,Yellow / Tan / Blond / Fawn,,Short,Animal Rescue Foundation Inc,GA59,31061,6,,,True,,False,"Milledgeville, GA","Friendly, Affectionate, Playful, Smart, Loyal, Brave, Athletic, Funny, Loves Kisses",Yes,"Vaccinations up to date, spayed / neutered."
69741093,Eugene,Shepherd,Feist,True,Baby,Male,Medium,Yellow / Tan / Blond / Fawn,,Short,Animal Rescue Foundation Inc,GA59,31061,6,,,True,,False,"Milledgeville, GA","Friendly, Affectionate, Loyal, Smart, Curious, Loves Kisses",N/A,"Vaccinations up to date, spayed / neutered."
69490866,Buttercup,Labrador Retriever,,True,Baby,Female,Medium,Black,,Short,Animal Rescue Foundation Inc,GA59,31061,6,True,,True,,False,"Milledgeville, GA","Friendly, Affectionate, Playful, Smart",N/A,"Vaccinations up to date, spayed / neutered."
69317379,Blossom,Labrador Retriever,,True,Baby,Female,Medium,Black,,Short,Animal Rescue Foundation Inc,GA59,31061,5,True,,True,,False,"Milledgeville, GA","Friendly, Affectionate, Playful",N/A,Spayed / neutered.
64552692,Belle,Siberian Husky,Australian Shepherd,True,Adult,Female,Medium,Red / Chestnut / Orange,White / Cream,Medium,Animal Rescue Foundation Inc,GA59,31061,6,False,False,True,,False,"Milledgeville, GA","Affectionate, Gentle, Playful",Yes,"Vaccinations up to date, spayed / neutered."
