pet_id,pet_name,primary_breed,secondary_breed,mixed_breed,age,gender,size,primary_colour,secondary_colour,coat_length,shelter_name,shelter_id,zip_code,num_photos,children,cats,other_dogs,other_animals,fee_waived,pet_location,characteristics,house_trained,health,pet_story
74035842,Bubbles,Labrador Retriever,,True,Young,Female,Medium,Apricot / Beige,,Short,Animal Rescue Foundation Inc,GA59,31061,5,True,,True,,False,"Milledgeville, GA","Affectionate, Athletic, Funny, Playful, Brave",Yes,"Vaccinations up to date, spayed / neutered.","Meet Bubbles
Everybody meet Bubbles! Bubbles is one third of our PowerPuff Girls Trio. They were found dumped in a box one morning outside of our building. Bubbles is a sweetheart, and she would love an active home where she can play and run. Bubbles is about a year old and is fully grown. She has grown up in our rescue, and it is time for her to have a home of her own! Bubbles is crate trained and is partially house broken. She is good with other dogs, but probably should avoid a home with small children only because she is silly and might knock them down. If you are interested in meeting Bubbles, please fill out an adoption application at animalrescuefoundation.org/adoptionapplication.

We will be in touch as soon as we process your application!"
73997289,Karma,Shar-Pei,,True,Adult,Female,Medium,Black,White / Cream,Short,Animal Rescue Foundation Inc,GA59,31061,5,True,False,True,,False,"Milledgeville, GA","Affectionate, Couch, Brave, Loyal, Friendly, Quiet, Smart",Yes,"Vaccinations up to date, spayed / neutered.","Meet Karma
Everybody meet Karma! Karma is currently our staff favorite, she is so sweet. Karma needs a home where her people are around often, as she is a little bit of a velcro dog. She is housebroken, heartworm negative, spayed, up to date on vaccines and heartworm prevention. She is even microchipped. She is crate trained, walks well on a leash, loves kids and likes other dogs. Karma's dream day is napping on the couch all day with her favorite humans!

Please note- no kitties for Karma- she likes them a little too much for the wrong reasons.

If you are interested in meeting Karma or any other of our babies, please fill out an adoption application at animalrescuefoundation.org/adoptionapplication

We will be in touch as soon as we process it!"
73786632,Ziggy,Schnauzer,Wirehaired Terrier,True,Young,Male,Small,,,,Animal Rescue Foundation Inc,GA59,31061,4,True,,True,,False,"Milledgeville, GA","Affectionate, Friendly, Playful",N/A,"Vaccinations up to date, spayed / neutered.","Meet Ziggy
""Ziggy is a wonderful young pup with lots of love to give! He is super affectionate and friendly, and is always down to play. Ziggy is very social and gets along with just about anyone. He has a playful and fun personality, and he's always up for an adventure. He loves to run around and explore, and he's always curious about the world around him. Our sweet Ziggy is a high energy guy, and he's looking for a home where he can fit right in. Ziggy would fit in well in a family with older children and a consistent routine, and he can be your loyal companion.
Ziggy is heartworm negative, appears to be housebroken, up to date on his shots and neutered. If you are looking for a fun and loving companion like Ziggy, please fill out an adoption application and we will be in touch! animalrescuefoundation.org/adoptionapplication"
71874008,Sweetie Pie,Black Mouth Cur,,False,Adult,Female,Medium,Bicolor,Brown / Chocolate,Short,Animal Rescue Foundation Inc,GA59,31061,5,,,,,False,"Milledgeville, GA","Friendly, Affectionate, Loyal, Gentle, Smart, Loves Kisses",N/A,"Vaccinations up to date, spayed / neutered.","Meet Sweetie Pie
Sweetie Pie lives up to her name!! This sweetheart loves to sunbathe and is housebroken. She is calm and loving. She walks well on a leash. She would love nothing more than to climb up on the couch with you and take a nap. Sweetie Pie is about 3 years old, up to date on all shots, spayed, and on heartworm prevention.

Adoptions are by appointment only. Fill out this form if you are interested in adopting or meeting one of our pets: http://animalrescuefoundation.org/adoptionapplication

We will contact you to set up an appointment once your vet references have been reviewed and your application is approved.

The standard adoption fee for a puppy or a dog is $200 which includes rabies vaccination, at least one round of parvo distemper vaccine and spay or neuter. ARF will adopt to residents who are out of state but will not furnish transportation. Here are a few of our adoption requirements: All adopters will be asked to fill out an application. Adopters must be at least 21 years old. Renters must show proof that they are allowed to have pets, such as a rental agreement. If there is a pet deposit, please show us the receipt that this has been paid. Be prepared to take your pet home with you - bring a leash for all dogs, regardless of age or size (or a pet taxi for small puppies and dogs) and a pet taxi for all kittens and cats."
71873998,Honeybun,Black Mouth Cur,,False,Young,Female,Medium,Bicolor,Brown / Chocolate,Short,Animal Rescue Foundation Inc,GA59,31061,4,,,,,False,"Milledgeville, GA","Friendly, Affectionate, Loyal, Gentle, Smart, Brave",N/A,"Vaccinations up to date, spayed / neutered.","Meet Honeybun
Honeybun loves kisses and treats! She is a bonded pair with her sister, Sweetie pie. Both are house trained and have very very loving personalities.

Adoptions are by appointment only. Fill out this form if you are interested in adopting or meeting one of our pets: http://animalrescuefoundation.org/adoptionapplication

We will contact you to set up an appointment once your vet references have been reviewed and your application is approved.

The standard adoption fee for a puppy or a dog is $200 which includes rabies vaccination, at least one round of parvo distemper vaccine and spay or neuter. ARF will adopt to residents who are out of state but will not furnish transportation. Here are a few of our adoption requirements: All adopters will be asked to fill out an application. Adopters must be at least 21 years old. Renters must show proof that they are allowed to have pets, such as a rental agreement. If there is a pet deposit, please show us the receipt that this has been paid. Be prepared to take your pet home with you - bring a leash for all dogs, regardless of age or size (or a pet taxi for small puppies and dogs) and a pet taxi for all kittens and cats."
71418492,Georgia,Black Labrador Retriever,,False,Young,Female,Medium,Black,White / Cream,Short,Animal Rescue Foundation Inc,GA59,31061,6,,,True,,False,"Milledgeville, GA","Friendly, Affectionate, Gentle, Playful, Curious, Quiet",N/A,"Vaccinations up to date, spayed / neutered.","Meet Georgia
Georgia is a very sweet, gentle, and submissive puppy. She loves showing off toys and giving love. She is timid at first, but quickly comes out of her shell and turns into the sweetest girl!

Adoptions are by appointment only. Fill out this form if you are interested in adopting or meeting one of our pets: http://animalrescuefoundation.org/adoptionapplication

We will contact you to set up an appointment once your vet references have been reviewed and your application is approved.

The standard adoption fee for a puppy or a dog is $200 which includes rabies vaccination, at least one round of parvo distemper vaccine and spay or neuter. ARF will adopt to residents who are out of state but will not furnish transportation. Here are a few of our adoption requirements: All adopters will be asked to fill out an application. Adopters must be at least 21 years old. Renters must show proof that they are allowed to have pets, such as a rental agreement. If there is a pet deposit, please show us the receipt that this has been paid. Be prepared to take your pet home with you - bring a leash for all dogs, regardless of age or size (or a pet taxi for small puppies and dogs) and a pet taxi for all kittens and cats."
71276739,Asher,Pit Bull Terrier,,True,Young,Male,Medium,Gray / Blue / Silver,White / Cream,Short,Animal Rescue Foundation Inc,GA59,31061,6,,False,True,,False,"Milledgeville, GA","Friendly, Playful, Affectionate, Curious, Funny, Athletic, Loves Kisses",Yes,"Vaccinations up to date, spayed / neutered.","Meet Asher
Meet Asher! This little guy came to us completely emaciated but still loving. He is the goofiest boy, but he still needs a little work on his manners. He is crate trained, and sweet as pie. He needs an active family that would love to take him on walks or hikes. He is generally down for whatever you want to do. He is pretty close to full grown at about 10 months old. He is heartworm negative as well. He would love a home of his own. He is also pretty much housebroken and prefers to go outside when he can. If you are interested in Asher, please submit an application at animalrescuefoundation.org/adoptionapplication"
69785207,Bianca,Feist,Miniature Pinscher,True,Baby,Female,Medium,Yellow / Tan / Blond / Fawn,Bicolor,Short,Animal Rescue Foundation Inc,GA59,31061,5,,,True,,False,"Milledgeville, GA","Loyal, Affectionate, Friendly, Playful, Smart, Curious, Funny, Loves Kisses",N/A,"Vaccinations up to date, spayed / neutered.","Meet Bianca
Meet sweet Bianca! She is an energetic 11-month old puppy. Her mom is a miniature pincher mix, and her siblings look to have some type of shepherd or feist in them. She has a very unique ridge on the back of her neck. This girl is ready for her forever home where she can run and play! She will make a great pet for someone. Don’t let this sweet girl grow up in the shelter!

Bianca is up to date on shots, microchipped, spayed, and heartworm negative.

Adoptions are by appointment only. Fill out this form if you are interested in adopting or meeting one of our pets: http://animalrescuefoundation.org/adoptionapplication

We will contact you to set up an appointment once your vet references have been reviewed and your application is approved."
69785205,Ronan,American Bulldog,Bullmastiff,True,Adult,Male,Large,Yellow / Tan / Blond / Fawn,White / Cream,Short,Animal Rescue Foundation Inc,GA59,31061,5,,,True,,False,"Milledgeville, GA","Friendly, Affectionate, Playful, Smart, Brave, Funny, Athletic, Loves Kisses",N/A,"Vaccinations up to date, spayed / neutered.","Meet Ronan
Ronan is a goofy boy looking for his forever home! He is big and strong, but is learning his manners and knows how to sit on command. He is so smart and catches on quickly! This baby just wants to give kisses and cuddle. He also plays great with other dogs and doesn't meet a stranger. Ronan keeps his kennel clean and is all around the best boy! He would love to go for long walks, but he is just as happy cuddling and napping.

Ronan is up to date on vaccines, neutered, microchipped, and on heartworm prevention. He is heartworm and tick borne disease negative.

If you are interested in meeting Ronan, please fill our our application at animalrescuefoundation.org/adoptionapplication"
69741772,Snow,Black Labrador Retriever,,False,Senior,Male,Medium,Black,White / Cream,Short,Animal Rescue Foundation Inc,GA59,31061,6,False,False,False,False,False,"Milledgeville, GA","Friendly, Affectionate, Loyal, Smart, Brave, Independent, Couch potato, Loves kisses",N/A,Spayed / neutered.,"Meet Snow
Snow has been in the shelter waiting for a home for years.

We don’t know why we have had no interest in this sweet guy. He is an all around good and happy boy that absolutely loves peanut butter, treats, and snuggles. Snow does not get along with all dogs, so he would probably do best in a home with no other pets or he will at least need to meet the other pets before adoption. Snow would also do best in a home with no small children, as we fear children would be too stressful for this guy. This could also be shelter-related stress behavior, but we want Snow to be in a home where he is comfortable and happy.

Please give this guy a chance at a life outside of the shelter. He deserves to live out the rest of his life in a home, not a run.

Snow is around 8 years old. He is looking for a home to live the rest of his days at lounging on a couch and snuggling up with an owner.



Fill out our online adoption application to meet Snow! http://animalrescuefoundation.org/adoptionapplication"
