pet_id,field,error
72631343,characteristics,Not found on page
72631343,house_trained,Not found on page
72631343,adoption_fee_about_section,"Message: 
Stacktrace:
0   chromedriver                        0x000000010485b648 cxxbridge1$str$ptr + 3645404
1   chromedriver                        0x0000000104853ea8 cxxbridge1$str$ptr + 3614780
2   chromedriver                        0x00000001042c0104 cxxbridge1$string$len + 88416
3   chromedriver                        0x0000000104302364 cxxbridge1$string$len + 359360
4   chromedriver                        0x000000010433bbd0 cxxbridge1$string$len + 594988
5   chromedriver                        0x00000001042f6f54 cxxbridge1$string$len + 313264
6   chromedriver                        0x00000001042f7ba4 cxxbridge1$string$len + 316416
7   chromedriver                        0x00000001048261e8 cxxbridge1$str$ptr + 3427196
8   chromedriver                        0x000000010482952c cxxbridge1$str$ptr + 3440320
9   chromedriver                        0x000000010480d60c cxxbridge1$str$ptr + 3325856
10  chromedriver                        0x0000000104829df0 cxxbridge1$str$ptr + 3442564
11  chromedriver                        0x00000001047fe890 cxxbridge1$str$ptr + 3265060
12  chromedriver                        0x0000000104844898 cxxbridge1$str$ptr + 3551788
13  chromedriver                        0x0000000104844a14 cxxbridge1$str$ptr + 3552168
14  chromedriver                        0x0000000104853b40 cxxbridge1$str$ptr + 3613908
15  libsystem_pthread.dylib             0x00000001804eb034 _pthread_start + 136
16  libsystem_pthread.dylib             0x00000001804e5e3c thread_start + 8
"
72631343,adoption_fee_pet_story_section,"Message: 
Stacktrace:
0   chromedriver                        0x000000010485b648 cxxbridge1$str$ptr + 3645404
1   chromedriver                        0x0000000104853ea8 cxxbridge1$str$ptr + 3614780
2   chromedriver                        0x00000001042c0104 cxxbridge1$string$len + 88416
3   chromedriver                        0x0000000104302364 cxxbridge1$string$len + 359360
4   chromedriver                        0x000000010433bbd0 cxxbridge1$string$len + 594988
5   chromedriver                        0x00000001042f6f54 cxxbridge1$string$len + 313264
6   chromedriver                        0x00000001042f7ba4 cxxbridge1$string$len + 316416
7   chromedriver                        0x00000001048261e8 cxxbridge1$str$ptr + 3427196
8   chromedriver                        0x000000010482952c cxxbridge1$str$ptr + 3440320
9   chromedriver                        0x000000010480d60c cxxbridge1$str$ptr + 3325856
10  chromedriver                        0x0000000104829df0 cxxbridge1$str$ptr + 3442564
11  chromedriver                        0x00000001047fe890 cxxbridge1$str$ptr + 3265060
12  chromedriver                        0x0000000104844898 cxxbridge1$str$ptr + 3551788
13  chromedriver                        0x0000000104844a14 cxxbridge1$str$ptr + 3552168
14  chromedriver                        0x0000000104853b40 cxxbridge1$str$ptr + 3613908
15  libsystem_pthread.dylib             0x00000001804eb034 _pthread_start + 136
16  libsystem_pthread.dylib             0x00000001804e5e3c thread_start + 8
"
72535307,characteristics,Not found on page
72535307,house_trained,Not found on page
72535307,adoption_fee_about_section,"Message: 
Stacktrace:
0   chromedriver                        0x000000010485b648 cxxbridge1$str$ptr + 3645404
1   chromedriver                        0x0000000104853ea8 cxxbridge1$str$ptr + 3614780
2   chromedriver                        0x00000001042c0104 cxxbridge1$string$len + 88416
3   chromedriver                        0x0000000104302364 cxxbridge1$string$len + 359360
4   chromedriver                        0x000000010433bbd0 cxxbridge1$string$len + 594988
5   chromedriver                        0x00000001042f6f54 cxxbridge1$string$len + 313264
6   chromedriver                        0x00000001042f7ba4 cxxbridge1$string$len + 316416
7   chromedriver                        0x00000001048261e8 cxxbridge1$str$ptr + 3427196
8   chromedriver                        0x000000010482952c cxxbridge1$str$ptr + 3440320
9   chromedriver                        0x000000010480d60c cxxbridge1$str$ptr + 3325856
10  chromedriver                        0x0000000104829df0 cxxbridge1$str$ptr + 3442564
11  chromedriver                        0x00000001047fe890 cxxbridge1$str$ptr + 3265060
12  chromedriver                        0x0000000104844898 cxxbridge1$str$ptr + 3551788
13  chromedriver                        0x0000000104844a14 cxxbridge1$str$ptr + 3552168
14  chromedriver                        0x0000000104853b40 cxxbridge1$str$ptr + 3613908
15  libsystem_pthread.dylib             0x00000001804eb034 _pthread_start + 136
16  libsystem_pthread.dylib             0x00000001804e5e3c thread_start + 8
"
72535307,adoption_fee_pet_story_section,"Message: 
Stacktrace:
0   chromedriver                        0x000000010485b648 cxxbridge1$str$ptr + 3645404
1   chromedriver                        0x0000000104853ea8 cxxbridge1$str$ptr + 3614780
2   chromedriver                        0x00000001042c0104 cxxbridge1$string$len + 88416
3   chromedriver                        0x0000000104302364 cxxbridge1$string$len + 359360
4   chromedriver                        0x000000010433bbd0 cxxbridge1$string$len + 594988
5   chromedriver                        0x00000001042f6f54 cxxbridge1$string$len + 313264
6   chromedriver                        0x00000001042f7ba4 cxxbridge1$string$len + 316416
7   chromedriver                        0x00000001048261e8 cxxbridge1$str$ptr + 3427196
8   chromedriver                        0x000000010482952c cxxbridge1$str$ptr + 3440320
9   chromedriver                        0x000000010480d60c cxxbridge1$str$ptr + 3325856
10  chromedriver                        0x0000000104829df0 cxxbridge1$str$ptr + 3442564
11  chromedriver                        0x00000001047fe890 cxxbridge1$str$ptr + 3265060
12  chromedriver                        0x0000000104844898 cxxbridge1$str$ptr + 3551788
13  chromedriver                        0x0000000104844a14 cxxbridge1$str$ptr + 3552168
14  chromedriver                        0x0000000104853b40 cxxbridge1$str$ptr + 3613908
15  libsystem_pthread.dylib             0x00000001804eb034 _pthread_start + 136
16  libsystem_pthread.dylib             0x00000001804e5e3c thread_start + 8
"
72189274,characteristics,Not found on page
72189274,house_trained,Not found on page
72189274,adoption_fee_about_section,"Message: 
Stacktrace:
0   chromedriver                        0x000000010485b648 cxxbridge1$str$ptr + 3645404
1   chromedriver                        0x0000000104853ea8 cxxbridge1$str$ptr + 3614780
2   chromedriver                        0x00000001042c0104 cxxbridge1$string$len + 88416
3   chromedriver                        0x0000000104302364 cxxbridge1$string$len + 359360
4   chromedriver                        0x000000010433bbd0 cxxbridge1$string$len + 594988
5   chromedriver                        0x00000001042f6f54 cxxbridge1$string$len + 313264
6   chromedriver                        0x00000001042f7ba4 cxxbridge1$string$len + 316416
7   chromedriver                        0x00000001048261e8 cxxbridge1$str$ptr + 3427196
8   chromedriver                        0x000000010482952c cxxbridge1$str$ptr + 3440320
9   chromedriver                        0x000000010480d60c cxxbridge1$str$ptr + 3325856
10  chromedriver                        0x0000000104829df0 cxxbridge1$str$ptr + 3442564
11  chromedriver                        0x00000001047fe890 cxxbridge1$str$ptr + 3265060
12  chromedriver                        0x0000000104844898 cxxbridge1$str$ptr + 3551788
13  chromedriver                        0x0000000104844a14 cxxbridge1$str$ptr + 3552168
14  chromedriver                        0x0000000104853b40 cxxbridge1$str$ptr + 3613908
15  libsystem_pthread.dylib             0x00000001804eb034 _pthread_start + 136
16  libsystem_pthread.dylib             0x00000001804e5e3c thread_start + 8
"
