,pet_id,primary_breed,mixed_breed,age,gender,size,shelter_name,shelter_id,zip_code,num_photos,pet_location,health,adoption_fee,adoption_fee2
0,72631343,Labrador Retriever,False,Young,Male,Medium,Friends of Perry Animal Shelter,GA168,31069,2,"Perry, GA",Spayed / neutered.,,
1,72535307,Mixed Breed,True,Baby,Male,Medium,Friends of Perry Animal Shelter,GA168,31069,1,"Perry, GA","Vaccinations up to date, spayed / neutered.",,
2,72189274,Labrador Retriever,True,Baby,Male,Medium,Friends of Perry Animal Shelter,GA168,31069,3,"Perry, GA","Vaccinations up to date, spayed / neutered.",,
3,71179118,Labrador Retriever,True,Young,Female,Medium,Friends of Perry Animal Shelter,GA168,31069,3,"Perry, GA","Vaccinations up to date, spayed / neutered.",,
4,71874008,Black Mouth Cur,False,Young,Female,Medium,Animal Rescue Foundation Inc,GA59,31061,3,"Milledgeville, GA","Vaccinations up to date, spayed / neutered.",200,200.0
5,71873998,Black Mouth Cur,False,Young,Female,Medium,Animal Rescue Foundation Inc,GA59,31061,5,"Milledgeville, GA","Vaccinations up to date, spayed / neutered.",200,200.0
6,71873982,Black Labrador Retriever,False,Baby,Male,Medium,Animal Rescue Foundation Inc,GA59,31061,6,"Milledgeville, GA","Vaccinations up to date, spayed / neutered, special needs.",200,200.0
7,71418492,Black Labrador Retriever,False,Young,Female,Medium,Animal Rescue Foundation Inc,GA59,31061,6,"Milledgeville, GA","Vaccinations up to date, spayed / neutered.",,
8,71276739,Pit Bull Terrier,True,Young,Male,Medium,Animal Rescue Foundation Inc,GA59,31061,6,"Milledgeville, GA","Vaccinations up to date, spayed / neutered.",,
9,69785207,Feist,True,Baby,Female,Medium,Animal Rescue Foundation Inc,GA59,31061,5,"Milledgeville, GA","Vaccinations up to date, spayed / neutered.",,
10,69785205,American Bulldog,True,Adult,Male,Large,Animal Rescue Foundation Inc,GA59,31061,5,"Milledgeville, GA","Vaccinations up to date, spayed / neutered.",,
11,69741772,Black Labrador Retriever,False,Senior,Male,Medium,Animal Rescue Foundation Inc,GA59,31061,6,"Milledgeville, GA",Spayed / neutered.,,
12,69741427,Black Labrador Retriever,True,Baby,Female,Large,Animal Rescue Foundation Inc,GA59,31061,5,"Milledgeville, GA","Vaccinations up to date, spayed / neutered.",,
13,69741180,Hound,True,Adult,Female,Large,Animal Rescue Foundation Inc,GA59,31061,6,"Milledgeville, GA","Vaccinations up to date, spayed / neutered.",,
14,69741136,Feist,True,Baby,Male,Medium,Animal Rescue Foundation Inc,GA59,31061,5,"Milledgeville, GA","Vaccinations up to date, spayed / neutered.",,
15,69741093,Shepherd,True,Baby,Male,Medium,Animal Rescue Foundation Inc,GA59,31061,6,"Milledgeville, GA","Vaccinations up to date, spayed / neutered.",,
16,69490866,Labrador Retriever,True,Baby,Female,Medium,Animal Rescue Foundation Inc,GA59,31061,6,"Milledgeville, GA","Vaccinations up to date, spayed / neutered.",,
17,69317379,Labrador Retriever,True,Baby,Female,Medium,Animal Rescue Foundation Inc,GA59,31061,5,"Milledgeville, GA",Spayed / neutered.,,
18,64552692,Siberian Husky,True,Adult,Female,Medium,Animal Rescue Foundation Inc,GA59,31061,6,"Milledgeville, GA","Vaccinations up to date, spayed / neutered.",200,200.0
19,73664911,German Shorthaired Pointer,True,Adult,Male,Medium,Georgia Canine Rescue and Rehabilitation,GA467,31014,1,"Cochran, GA","Vaccinations up to date, spayed / neutered.",,
20,66320815,Pit Bull Terrier,True,Adult,Male,Large,Baldwin County Jail Dog Program ,GA972,31061,6,"Milledgeville, GA","Vaccinations up to date, spayed / neutered.",100,100.0
21,65482319,Boxer,True,Adult,Female,Medium,Kitten Corner & Puppy Street Inc.,GA1074,31061,4,"Milledgeville, GA",,,
22,65032208,Terrier,True,Young,Male,Medium,Kitten Corner & Puppy Street Inc.,GA1074,31061,4,"Milledgeville, GA",,,
23,64159616,Pit Bull Terrier,True,Adult,Female,Medium,Kitten Corner & Puppy Street Inc.,GA1074,31061,5,"Milledgeville, GA",,,
24,59837047,Husky,True,Adult,Male,Large,Baldwin County Jail Dog Program ,GA972,31061,6,"Milledgeville, GA","Vaccinations up to date, spayed / neutered.",100,100.0
25,52714350,Pointer,True,Senior,Male,Large,Baldwin County Jail Dog Program ,GA972,31061,6,"Milledgeville, GA","Vaccinations up to date, spayed / neutered.",100,100.0
26,51044806,Pit Bull Terrier,True,Adult,Female,Medium,Baldwin County Jail Dog Program ,GA972,31061,6,"Milledgeville, GA","Vaccinations up to date, spayed / neutered.",100,100.0
27,69893732,Boxer,True,Young,Female,Medium,Faith Animal Rescue Inc,GA1016,31050,5,"Knoxville, GA","Vaccinations up to date, spayed / neutered.",50,50.0
28,73595539,Terrier,True,Baby,Male,Medium,Save A Pet Inc,GA174,31029,2,"Forsyth, GA",,,
29,73538033,Terrier,True,Baby,Male,Medium,Save A Pet Inc,GA174,31029,2,"Forsyth, GA",,250,250.0
30,73517725,Catahoula Leopard Dog,True,Young,Female,Medium,Save A Pet Inc,GA174,31029,3,"Forsyth, GA","Vaccinations up to date, spayed / neutered.",250,250.0
31,73095658,Terrier,True,Young,Male,Medium,Save A Pet Inc,GA174,31029,3,"Forsyth, GA","Vaccinations up to date, spayed / neutered.",250,250.0
32,72695235,Boxer,True,Young,Female,Large,Save A Pet Inc,GA174,31029,4,"Forsyth, GA",Spayed / neutered.,250,250.0
33,72055486,Shepherd,True,Young,Male,Large,Save A Pet Inc,GA174,31029,3,"Forsyth, GA",Vaccinations up to date.,250,250.0
34,71802850,Australian Cattle Dog / Blue Heeler,True,Young,Male,Medium,Save A Pet Inc,GA174,31029,2,"Forsyth, GA","Vaccinations up to date, spayed / neutered.",,
35,71802852,Australian Cattle Dog / Blue Heeler,True,Young,Male,Medium,Save A Pet Inc,GA174,31029,3,"Forsyth, GA",Spayed / neutered.,250,250.0
36,71802851,Australian Cattle Dog / Blue Heeler,True,Young,Male,Medium,Save A Pet Inc,GA174,31029,3,"Forsyth, GA",Spayed / neutered.,,
37,71040575,Pointer,True,Adult,Female,Large,Save A Pet Inc,GA174,31029,5,"Forsyth, GA","Vaccinations up to date, spayed / neutered.",250,250.0
38,70878163,Terrier,True,Adult,Male,Small,Save A Pet Inc,GA174,31029,3,"Forsyth, GA",Vaccinations up to date.,250,250.0
39,70825868,Labrador Retriever,True,Adult,Male,Large,Save A Pet Inc,GA174,31029,5,"Forsyth, GA","Vaccinations up to date, spayed / neutered.",250,250.0
40,70825866,Labrador Retriever,True,Young,Female,Large,Save A Pet Inc,GA174,31029,0,"Forsyth, GA","Vaccinations up to date, spayed / neutered.",,
41,70825861,Labrador Retriever,True,Young,Female,Large,Save A Pet Inc,GA174,31029,2,"Forsyth, GA","Vaccinations up to date, spayed / neutered.",,
42,70825863,Labrador Retriever,True,Adult,Female,Medium,Save A Pet Inc,GA174,31029,1,"Forsyth, GA","Vaccinations up to date, spayed / neutered.",200,200.0
43,70825862,Labrador Retriever,True,Young,Female,Medium,Save A Pet Inc,GA174,31029,2,"Forsyth, GA","Vaccinations up to date, spayed / neutered.",250,250.0
44,70721533,Weimaraner,True,Young,Female,Large,Save A Pet Inc,GA174,31029,5,"Forsyth, GA","Vaccinations up to date, spayed / neutered.",250,250.0
45,70031231,Hound,True,Adult,Male,Large,Save A Pet Inc,GA174,31029,6,"Forsyth, GA","Vaccinations up to date, spayed / neutered.",250,250.0
46,69684608,Terrier,True,Adult,Male,Large,Save A Pet Inc,GA174,31029,3,"Forsyth, GA","Vaccinations up to date, spayed / neutered.",250,250.0
47,68673675,Boxer,True,Young,Female,Large,Save A Pet Inc,GA174,31029,3,"Forsyth, GA",Spayed / neutered.,250,250.0
48,65846228,Weimaraner,True,Young,Male,Large,Save A Pet Inc,GA174,31029,2,"Forsyth, GA","Vaccinations up to date, spayed / neutered.",250,250.0
49,65761443,Weimaraner,True,Young,Male,Medium,Save A Pet Inc,GA174,31029,5,"Forsyth, GA","Vaccinations up to date, spayed / neutered.",250,250.0
50,64822074,Boxer,True,Adult,Male,Medium,Save A Pet Inc,GA174,31029,3,"Forsyth, GA","Vaccinations up to date, spayed / neutered.",250,250.0
51,64483330,Terrier,True,Adult,Male,Large,Save A Pet Inc,GA174,31029,6,"Forsyth, GA",Spayed / neutered.,150,150.0
52,64228419,Boxer,True,Young,Male,Large,Save A Pet Inc,GA174,31029,1,"Forsyth, GA",Spayed / neutered.,250,250.0
53,55392991,Labrador Retriever,True,Adult,Male,Medium,Save A Pet Inc,GA174,31029,4,"Forsyth, GA","Vaccinations up to date, spayed / neutered.",250,250.0
54,54734367,American Staffordshire Terrier,True,Adult,Male,Large,Save A Pet Inc,GA174,31029,4,"Forsyth, GA","Vaccinations up to date, spayed / neutered.",250,250.0
55,52003008,Pit Bull Terrier,False,Adult,Female,Medium,Peach County Animal Rescue,GA918,31057,6,"Marshallville, GA","Vaccinations up to date, spayed / neutered.",,
