,pet_id,primary_breed,mixed_breed,age,gender,shelter_name,num_photos,pet_location,adoption_fee
0,31091848,Basset Hound,False,Senior,Male,Basset Hound Rescue of Georgia,4,"Fayetteville, GA",100.0
1,31135944,American Staffordshire Terrier,True,Adult,Female,"BullyWag, Inc.",2,"Peachtree City, GA",
2,36429068,Rat Terrier,True,Adult,Male,Little Nuggets Rescue,2,"Snellville, GA",300.0
3,37184690,Chihuahua,False,Senior,Female,Atlanta Canine Adoption Project,5,"Monticello, GA",
4,37812845,Shepherd,True,Adult,Male,Clayton County Humane Society,3,"Jonesboro, GA",242.85714285714286
5,37812847,Shepherd,True,Adult,Female,Clayton County Humane Society,5,"Jonesboro, GA",242.85714285714286
6,37912470,Australian Shepherd,True,Adult,Female,Ginny Millner Rescue Group,4,"Atlanta, GA",175.0
7,38278658,Feist,True,Senior,Male,Little Nuggets Rescue,3,"Snellville, GA",350.0
8,38579430,Basset Hound,False,Adult,Female,Basset Hound Rescue of Georgia,4,"Fayetteville, GA",100.0
9,39387199,American Staffordshire Terrier,True,Adult,Male,Laskey's Lucky Ones & Volunteers (LLOV),6,"East Point, GA",
10,40713643,Retriever,True,Adult,Female,"BullyWag, Inc.",3,"Peachtree City, GA",
11,41019912,Labrador Retriever,True,Adult,Female,"BullyWag, Inc.",5,"Peachtree City, GA",
12,41155616,Labrador Retriever,True,Adult,Female,"BullyWag, Inc.",5,"Peachtree City, GA",
13,41160374,Labrador Retriever,True,Adult,Female,"BullyWag, Inc.",3,"Peachtree City, GA",
14,41212218,Maltese,True,Young,Male,"Alcovy Pet Rescue, Inc.",4,"Monroe, GA",
15,41299866,Staffordshire Bull Terrier,True,Adult,Male,"BullyWag, Inc.",1,"Peachtree City, GA",
16,41597136,Pointer,True,Adult,Male,"BullyWag, Inc.",3,"Peachtree City, GA",
17,41647866,Terrier,False,Adult,Female,"BullyWag, Inc.",6,"Peachtree City, GA",
18,41647887,Terrier,True,Adult,Female,"BullyWag, Inc.",5,"Peachtree City, GA",
19,41818552,Labrador Retriever,True,Adult,Female,Rescue Me Ga Inc,3,"Dunwoody, GA",286.80555555555554
20,42601488,American Staffordshire Terrier,True,Adult,Female,Ginny Millner Rescue Group,5,"Atlanta, GA",175.0
21,43511145,Pit Bull Terrier,True,Adult,Female,"BullyWag, Inc.",2,"Peachtree City, GA",
22,43568427,Australian Cattle Dog,True,Adult,Female,PAWS Atlanta,1,"Decatur, GA",250.0
23,44099864,American Bulldog,True,Adult,Female,"BullyWag, Inc.",1,"Peachtree City, GA",
